Name;ID;disparador
¿En qué consiste el trámite de Modificación de Datos?;PLBWX5XYGQ2B3GP7IN8Q-fernando@botmaker.com-1535864488222-7413;restaurar
¿En qué consiste el trámite de Modificación de Datos?;PLBWX5XYGQ2B3GP7IN8Q-fernando@botmaker.com-1535864488222-7413;variacion
¿En qué consiste el trámite de Modificación de Datos?;PLBWX5XYGQ2B3GP7IN8Q-fernando@botmaker.com-1535864488222-7413;variar
¿En qué consiste el trámite de Modificación de Datos?;PLBWX5XYGQ2B3GP7IN8Q-fernando@botmaker.com-1535864488222-7413;sustitucion
CU01CUX02 Museo Contemporáneo;PLBWX5XYGQ2B3GP7IN8Q-guadalupe@botmaker.io-1571677747943;galería
CU09CUX01 CCR;PLBWX5XYGQ2B3GP7IN8Q-guadalupe@botmaker.io-1571679214570;hop
CU09CUX01 CCR;PLBWX5XYGQ2B3GP7IN8Q-guadalupe@botmaker.io-1571679214570;hip
CU09CUX01 Apertura;PLBWX5XYGQ2B3GP7IN8Q-guadalupe@botmaker.io-1571678712649;25
TR03CUX30 Registro de organizaciones de Acción Comunitaria;PLBWX5XYGQ2B3GP7IN8Q-guadalupe@botmaker.io-1571759405579;organizaciones
BOT02CUX08 Apertura;PLBWX5XYGQ2B3GP7IN8Q-d92bs170w9@b.m-1708954387996;turisteandotest123
