ID;Name;disparador;length;ranking
PLBWX5XYGQ2B3GP7IN8Q-danielalallopizzo@botmaker.io-1600430939944;AG01CUX01 Reclamos por Valuación Fiscal Homogénea (VFH);necesito hacer el reclamo porque no estoy de acuerdo con los valores asignados por el gobierno de la ciudad para la valuación fiscal homogénea de tu inmueble;157;1
PLBWX5XYGQ2B3GP7IN8Q-danielalallopizzo@botmaker.io-1600430939944;AG01CUX01 Reclamos por Valuación Fiscal Homogénea (VFH);quiero hacer un reclamo porque no estoy de acuerdo con los valores asignados por el gobierno de la ciudad para la valuación fiscal homogénea de tu inmueble;155;2
PLBWX5XYGQ2B3GP7IN8Q-danielalallopizzo@botmaker.io-1600430939944;AG01CUX01 Reclamos por Valuación Fiscal Homogénea (VFH);cómo hago el reclamo porque no estoy de acuerdo con los valores asignados por el gobierno de la ciudad para la valuación fiscal homogénea de mi inmueble;152;3
PLBWX5XYGQ2B3GP7IN8Q-danielalallopizzo@botmaker.io-1600296422549;TR03CUX26 Trámite de pago a proveedores;quiero tramitar por mi propia cuenta los documentos de contratación para ser proveedor de la ciudad;99;4
PLBWX5XYGQ2B3GP7IN8Q-danielalallopizzo@botmaker.io-1600429576829;AG01CUX01 Exención ABL Ex combatientes;quiero pagar menos de abl porque soy ex combatiente de malvinas y propietario de un solo inmueble;97;5
PLBWX5XYGQ2B3GP7IN8Q-danielalallopizzo@botmaker.io-1600385477895;AG01CUX01 Exención ABL Vivienda;quiero pagar menos de abl porque soy propietario de un solo inmueble destinado a vivienda;89;6
PLBWX5XYGQ2B3GP7IN8Q-danielalallopizzo@botmaker.io-1600384963627;AG01CUX01 Exención ABL Monumentos;cómo hago para que me bonifiquen el abl por ser dueño de un inmueble declarado monumento;88;7
PLBWX5XYGQ2B3GP7IN8Q-danielalallopizzo@botmaker.io-1600384963627;AG01CUX01 Exención ABL Monumentos;necesito que me bonifiquen el abl por ser dueño de un inmueble declarado monumento;82;8
PLBWX5XYGQ2B3GP7IN8Q-danielalallopizzo@botmaker.io-1600378213538;AG01CUX01 Desacuerdos con valor inmobiliario de referencia (VIR);necesito reclamar los valores asignados por el valor inmobiliario de referencia;79;9
PLBWX5XYGQ2B3GP7IN8Q-danielalallopizzo@botmaker.io-1600382418393;AG01CUX01 Desdoblamiento de deuda por diferencias fiscales de avalúo;necesito reclamar los valores asignados por el valor inmobiliario de referencia;79;9
PLBWX5XYGQ2B3GP7IN8Q-danielalallopizzo@botmaker.io-1600378213538;AG01CUX01 Desacuerdos con valor inmobiliario de referencia (VIR);quiero reclamar los valores asignados por el valor inmobiliario de referencia;77;10
PLBWX5XYGQ2B3GP7IN8Q-danielalallopizzo@botmaker.io-1600378213538;AG01CUX01 Desacuerdos con valor inmobiliario de referencia (VIR);cómo reclamo los valores asignados por el valor inmobiliario de referencia;74;11
